time,NO2,CO,PM2.5,PM10
2019-01-04,25,8,86,62
2019-01-05,29,9,90,59
2019-01-06,56,11,83,55
2019-01-07,36,14,89,49
2019-01-08,14,9,52,34
2019-01-09,17,17,59,28
2019-01-10,19,14,115,15
2019-01-11,12,7,99,68
2019-01-12,19,7,98,60
2019-01-13,22,9,88,61
2019-01-14,18,11,96,66
2019-01-15,21,11,87,56
2019-01-16,10,20,49,35
2019-01-17,10,8,64,43
2019-01-18,14,20,118,74
2019-01-19,36,15,152,96
2019-01-20,33,10,164,107
2019-01-21,13,11,52,35
2019-01-22,24,15,97,66
2019-01-23,31,23,167,129
2019-01-24,19,13,199,136
2019-01-25,17,6,141,92
2019-01-26,26,18,194,105
2019-01-27,30,13,212,131
2019-01-28,62,14,115,128
