time,NO2,CO,PM2.5,PM10
2019-01-04,15,13,86,57
2019-01-05,19,9,82,54
2019-01-06,16,10,58,39
2019-01-07,12,9,78,52
2019-01-08,11,10,46,32
2019-01-09,14,12,50,38
2019-01-10,11,5,72,49
2019-01-11,21,10,93,59
2019-01-12,21,11,90,55
2019-01-13,23,6,87,57
2019-01-14,16,6,86,55
2019-01-15,20,5,69,43
2019-01-16,9,8,53,36
2019-01-17,10,6,57,38
2019-01-18,15,11,104,68
2019-01-19,52,11,131,106
2019-01-20,36,11,164,94
2019-01-21,13,5,42,27
2019-01-22,18,11,90,63
2019-01-23,26,11,122,80
2019-01-24,19,6,183,114
2019-01-25,28,6,325,151
2019-01-26,24,11,194,100
2019-01-27,33,9,167,97
2019-01-28,15,8,97,67
