time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,6.2,995.6,15.1,23.7
2019-01-22 02:00,6.9,986.1,30.0,55.1
2019-01-22 03:00,7.3,801.6,18.5,32.3
2019-01-22 04:00,7.8,635.7,21.9,37.5
2019-01-22 05:00,7.6,681.0,27.8,50.6
2019-01-22 06:00,7.7,870.7,32.5,68.7
2019-01-22 07:00,8.1,963.7,47.5,86.8
2019-01-22 08:00,8.8,1286.6,41.3,83.0
2019-01-22 09:00,5.7,1578.2,35.0,71.0
2019-01-22 10:00,1.9,1699.8,41.2,105.3
2019-01-22 11:00,1.4,1529.0,50.2,120.8
2019-01-22 12:00,1.9,1620.1,48.9,109.2
2019-01-22 13:00,2.1,1424.9,50.2,104.6
2019-01-22 14:00,2.9,1386.5,42.5,89.1
2019-01-22 15:00,1.9,1397.7,55.9,118.5
2019-01-22 16:00,1.9,1482.0,64.6,162.7
2019-01-22 17:00,15.3,2595.5,51.7,127.6
2019-01-22 18:00,32.5,3204.9,57.5,191.3
2019-01-22 19:00,34.4,2625.3,57.7,133.6
2019-01-22 20:00,49.7,3967.0,66.5,142.3
2019-01-22 21:00,47.7,4448.7,77.2,165.1
2019-01-22 22:00,36.3,3498.9,111.6,219.5
2019-01-22 23:00,30.6,3860.7,71.5,162.6
2019-01-23 00:00,24.8,2799.7,48.8,118.9
2019-01-23 01:00,26.7,2112.0,45.9,90.6
2019-01-23 02:00,32.5,1841.6,51.4,138.1
2019-01-23 03:00,36.3,1649.2,62.6,159.8
2019-01-23 04:00,30.6,1673.4,51.2,105.2
2019-01-23 05:00,21.0,1357.4,70.2,180.0
2019-01-23 06:00,17.2,1317.8,66.4,122.8
2019-01-23 07:00,19.1,1691.8,52.7,105.7
2019-01-23 08:00,22.9,2460.7,86.3,178.5
2019-01-23 09:00,30.6,2107.6,89.5,166.8
2019-01-23 10:00,22.9,1962.9,52.6,102.4
2019-01-23 11:00,15.3,1884.1,61.7,112.6
2019-01-23 12:00,7.6,1579.6,41.2,84.7
2019-01-23 13:00,3.8,1436.5,54.5,115.7
2019-01-23 14:00,5.7,1496.3,61.3,124.4
2019-01-23 15:00,1.9,1599.7,83.8,198.2
2019-01-23 16:00,3.8,1635.3,84.6,280.4
2019-01-23 17:00,19.1,2463.8,81.4,230.5
