time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,5.0,650.3,30.3,56.7
2019-01-22 02:00,5.4,561.0,24.9,43.4
2019-01-22 03:00,5.4,964.3,36.0,64.4
2019-01-22 04:00,5.5,917.3,39.6,72.9
2019-01-22 05:00,5.5,805.4,36.9,64.4
2019-01-22 06:00,5.8,1052.7,40.8,75.2
2019-01-22 07:00,4.0,1700.7,44.4,83.7
2019-01-22 08:00,4.2,1725.2,41.7,75.2
2019-01-22 09:00,7.6,912.3,43.5,89.1
2019-01-22 10:00,13.4,880.2,37.4,73.6
2019-01-22 11:00,11.5,776.5,51.4,104.8
2019-01-22 12:00,9.5,751.4,58.3,113.4
2019-01-22 13:00,13.4,613.1,38.2,73.3
2019-01-22 14:00,1.9,708.0,42.1,82.3
2019-01-22 15:00,3.8,865.0,73.9,171.4
2019-01-22 16:00,17.2,1290.9,70.5,146.5
2019-01-22 17:00,22.9,1887.0,76.7,222.5
2019-01-22 18:00,34.4,1664.5,68.9,223.6
2019-01-22 19:00,66.8,2238.8,82.3,158.7
2019-01-22 20:00,51.6,1516.7,79.3,153.8
2019-01-22 21:00,51.6,2264.4,86.6,258.3
2019-01-22 22:00,53.5,3238.5,82.7,144.2
2019-01-22 23:00,42.0,2776.9,85.6,198.5
2019-01-23 00:00,32.5,3054.9,44.2,159.7
2019-01-23 01:00,36.3,2036.7,84.4,192.6
2019-01-23 02:00,19.1,781.7,79.4,173.4
2019-01-23 03:00,34.4,843.2,62.9,227.2
2019-01-23 04:00,19.1,696.4,78.3,167.3
2019-01-23 05:00,15.3,1041.5,51.6,203.4
2019-01-23 06:00,17.2,966.5,104.1,216.8
2019-01-23 07:00,24.8,951.9,111.3,273.9
2019-01-23 08:00,32.5,1617.5,68.3,156.2
2019-01-23 09:00,30.6,1476.3,43.2,174.6
2019-01-23 10:00,32.5,1304.2,65.7,148.8
2019-01-23 11:00,19.1,1312.7,77.9,190.4
2019-01-23 12:00,17.2,1191.2,88.1,160.9
2019-01-23 13:00,26.7,913.5,51.1,104.0
2019-01-23 14:00,9.5,1074.7,44.1,87.5
2019-01-23 15:00,5.7,1147.3,75.7,155.7
2019-01-23 16:00,49.7,1560.5,68.4,125.0
2019-01-23 17:00,49.7,2026.3,75.5,168.0
2019-01-23 18:00,51.6,2030.9,68.1,265.1
2019-01-23 19:00,40.1,1886.3,108.1,276.7
2019-01-23 20:00,55.4,1665.9,104.7,233.3
2019-01-23 21:00,68.8,1785.3,87.9,208.0
2019-01-23 22:00,34.4,1631.1,71.2,223.9
2019-01-23 23:00,22.9,827.9,57.5,257.2
2019-01-24 00:00,21.0,696.4,87.6,268.1
2019-01-24 01:00,15.3,602.1,64.8,194.4
2019-01-24 02:00,7.6,574.0,61.7,188.1
2019-01-24 03:00,19.1,548.1,58.6,130.7
2019-01-24 04:00,5.7,594.6,59.6,137.7
2019-01-24 05:00,13.4,593.4,61.6,136.8
2019-01-24 06:00,22.9,858.7,76.7,155.7
2019-01-24 07:00,34.4,1147.4,59.6,138.3
2019-01-24 08:00,45.8,2365.2,75.9,168.2
2019-01-24 09:00,45.8,1856.1,107.3,279.3
2019-01-24 10:00,53.5,1678.9,92.9,181.9
2019-01-24 11:00,49.7,1566.3,134.6,228.5
2019-01-24 12:00,82.1,1960.7,82.9,214.5
2019-01-24 13:00,17.2,1153.5,70.5,152.4
2019-01-24 14:00,11.5,1469.1,130.0,212.6
2019-01-25 10:00,28.6,2763.8,113.1,185.8
2019-01-25 11:00,43.9,1958.5,109.2,175.8
2019-01-25 12:00,15.3,1707.6,126.9,205.8
2019-01-25 13:00,34.4,1378.1,113.7,208.8
2019-01-25 14:00,28.6,1396.8,136.7,230.8
2019-01-25 15:00,22.9,1187.5,91.7,121.4
2019-01-25 16:00,19.1,1364.5,114.0,164.8
2019-01-25 17:00,34.4,1638.7,121.4,178.7
2019-01-25 18:00,11.5,1770.7,109.3,150.4
2019-01-25 19:00,36.3,2235.1,99.6,147.8
2019-01-25 20:00,28.6,1744.5,83.6,109.3
2019-01-25 21:00,26.7,1516.5,83.9,115.7
2019-01-25 22:00,38.2,1585.4,89.5,126.9
2019-01-25 23:00,7.6,1144.8,97.0,129.2
2019-01-26 00:00,15.3,1013.6,116.8,173.4
2019-01-26 01:00,34.4,919.9,81.0,120.3
2019-01-26 02:00,13.4,760.3,94.2,139.9
2019-01-26 03:00,5.7,711.5,176.3,261.7
2019-01-26 04:00,1.9,673.3,133.5,198.2
2019-01-26 05:00,11.5,813.8,96.0,142.6
2019-01-26 06:00,7.6,1068.5,142.0,210.8
2019-01-26 07:00,9.5,1218.5,119.2,162.1
2019-01-26 08:00,17.2,1544.1,109.1,162.0
2019-01-26 09:00,30.6,1163.4,108.8,161.5
2019-01-26 10:00,21.0,1385.7,78.1,109.24
2019-01-26 11:00,11.5,1384.6,56.6,92.16
2019-01-26 12:00,11.5,1402.2,59.0,76.87
