time,NO2,CO,PM2.5,PM10
2019-01-04,38,8,119,73
2019-01-05,51,12,127,81
2019-01-06,22,7,104,69
2019-01-07,33,10,130,80
2019-01-08,18,11,67,42
2019-01-09,13,14,69,45
2019-01-10,26,9,96,64
2019-01-11,36,19,163,105
2019-01-12,36,14,167,96
2019-01-13,44,8,103,67
2019-01-14,50,10,131,92
2019-01-15,42,18,98,92
2019-01-16,12,8,60,41
2019-01-17,15,29,78,56
2019-01-18,24,11,141,104
2019-01-19,48,12,188,130
2019-01-20,63,29,185,136
2019-01-21,13,8,51,38
2019-01-22,29,8,143,105
2019-01-23,27,15,197,129
2019-01-24,16,8,229,159
2019-01-25,22,6,401,202
2019-01-26,27,15,240,133
2019-01-27,55,15,232,147
2019-01-28,95,13,128,88
