time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,15.3,615.1,17.8,43.2
2019-01-22 02:00,17.2,894.3,18.6,40.8
2019-01-22 03:00,15.3,930.5,16.7,35.9
2019-01-22 04:00,11.5,794.1,14.6,33.9
2019-01-22 05:00,15.3,747.9,34.5,74.0
2019-01-22 06:00,9.5,436.4,48.9,92.1
2019-01-22 07:00,13.4,653.1,33.0,66.5
2019-01-22 08:00,5.7,1120.4,41.1,81.9
2019-01-22 09:00,13.4,,32.9,65.0
2019-01-22 10:00,22.9,998.7,39.2,73.7
2019-01-22 11:00,7.6,775.6,42.9,80.6
2019-01-22 12:00,3.8,802.5,43.2,85.0
2019-01-22 13:00,7.6,698.5,46.3,91.8
2019-01-22 14:00,7.6,680.9,38.1,69.7
2019-01-22 15:00,7.6,727.3,54.8,111.2
2019-01-22 16:00,9.5,864.1,62.7,121.5
2019-01-22 17:00,32.5,856.3,78.6,187.2
2019-01-22 18:00,53.5,1353.3,61.7,138.7
2019-01-22 19:00,110.8,2063.6,79.5,160.2
2019-01-22 20:00,89.8,3177.5,48.6,92.8
2019-01-22 21:00,82.1,3568.8,38.6,80.3
2019-01-22 22:00,76.4,2106.5,64.8,122.8
2019-01-22 23:00,59.2,2562.1,94.7,175.2
2019-01-23 00:00,43.9,1777.5,57.2,121.7
2019-01-23 01:00,64.9,1424.4,48.6,97.5
2019-01-23 02:00,40.1,1541.7,67.1,128.6
2019-01-23 03:00,74.5,1229.5,46.1,89.3
2019-01-23 04:00,85.9,1316.9,50.5,103.8
2019-01-23 05:00,47.7,915.7,39.5,79.2
2019-01-23 06:00,42.0,898.7,59.7,128.5
2019-01-23 07:00,36.3,947.3,46.2,91.7
2019-01-23 08:00,68.8,1517.9,51.2,110.2
2019-01-23 09:00,95.5,1436.7,62.3,121.3
2019-01-23 10:00,76.4,1267.1,47.1,105.1
2019-01-23 11:00,57.3,1142.3,42.1,90.1
2019-01-23 12:00,9.5,914.7,51.1,121.1
2019-01-23 13:00,11.5,845.1,44.9,95.4
2019-01-23 14:00,13.4,794.8,54.2,111.2
2019-01-23 15:00,11.5,868.0,72.3,146.8
2019-01-23 16:00,34.4,866.7,68.2,153.8
2019-01-23 17:00,61.1,1155.4,75.3,141.1
