time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,9.5,975.1,25.1,45.5
2019-01-22 02:00,7.6,1158.6,32.8,64.8
2019-01-22 03:00,3.8,1233.1,32.5,68.2
2019-01-22 04:00,11.5,1194.7,35.4,71.4
2019-01-22 05:00,5.7,1239.9,38.6,75.5
2019-01-22 06:00,1.9,1311.1,40.3,80.8
2019-01-22 07:00,5.7,1250.0,36.2,74.2
2019-01-22 08:00,3.8,1212.4,38.6,77.1
2019-01-22 09:00,21.0,679.7,37.5,73.9
2019-01-22 10:00,22.9,714.1,40.2,82.2
2019-01-22 11:00,26.7,500.0,55.7,114.6
2019-01-22 12:00,13.4,503.8,40.7,83.3
2019-01-22 13:00,15.3,479.9,51.6,106.8
2019-01-22 14:00,13.4,526.1,37.6,71.5
2019-01-22 15:00,16.3,1141.2,37.9,76.9
2019-01-22 16:00,19.6,1367.3,45.0,95.4
2019-01-22 17:00,16.1,1065.9,50.4,106.3
2019-01-22 18:00,35.9,2941.6,56.3,127.8
2019-01-22 19:00,27.8,2649.9,62.2,137.3
2019-01-22 20:00,29.6,2885.0,58.6,125.2
2019-01-22 21:00,18.7,3169.4,57.3,123.7
2019-01-22 22:00,17.7,2795.3,63.6,142.7
2019-01-22 23:00,18.0,3113.9,70.9,157.8
2019-01-23 00:00,15.3,2681.1,46.5,95.0
2019-01-23 01:00,10.6,3038.3,63.4,131.4
2019-01-23 02:00,11.4,3166.6,61.8,155.0
2019-01-23 03:00,12.7,2784.2,42.4,121.4
2019-01-23 04:00,9.9,1752.6,45.1,76.7
2019-01-23 05:00,9.4,1932.7,47.0,96.1
2019-01-23 06:00,13.1,2390.6,61.1,142.0
2019-01-23 07:00,10.3,2495.8,53.5,128.2
2019-01-23 08:00,9.1,2410.7,56.4,150.5
2019-01-23 09:00,10.2,2046.2,65.7,166.1
2019-01-23 10:00,9.4,1837.8,43.0,86.4
2019-01-23 11:00,6.6,1543.1,42.6,82.6
2019-01-23 12:00,7.9,1688.1,47.1,96.8
2019-01-23 13:00,5.7,1936.4,58.2,116.7
2019-01-23 14:00,6.6,1843.0,64.2,125.8
2019-01-23 15:00,28.4,953.4,74.06,105.42
2019-01-23 16:00,20.3,901.7,85.95,148.34
2019-01-23 17:00,20.3,881.4,66.36,115.7
2019-01-23 18:00,31.8,862.3,61.68,98.52
2019-01-23 19:00,24.6,857.7,68.7,101.46
2019-01-23 20:00,26.0,864.6,72.57,107.58
2019-01-23 21:00,41.3,923.6,82.45,206.14
2019-01-23 22:00,52.8,950.2,79.92,122.25
2019-01-23 23:00,43.9,1005.7,65.73,112.01
2019-01-24 00:00,28.9,1252.4,78.94,164.69
2019-01-24 01:00,23.2,1188.7,74.33,126.17
2019-01-24 02:00,25.1,1166.0,74.82,120.56
2019-01-24 03:00,19.2,1222.7,72.99,118.6
2019-01-24 04:00,23.2,1231.7,88.67,171.34
2019-01-24 05:00,36.4,1283.9,118.87,203.41
2019-01-24 06:00,18.6,1331.1,73.1,142.79
2019-01-24 07:00,17.1,1364.2,76.03,132.6
2019-01-24 08:00,16.5,1636.5,62.82,120.57
2019-01-24 09:00,20.4,1102.5,95.2,183.7
2019-01-24 10:00,22.4,1460.6,118.8,210.6
2019-01-24 11:00,12.3,1541.5,124.2,268.3
2019-01-24 12:00,12.6,1724.1,91.4,203.0
2019-01-24 13:00,11.2,1163.3,112.9,225.6
2019-01-24 14:00,11.0,1199.0,97.0,185.2
2019-01-25 10:00,28.3,1041.0,171.7,239.2
2019-01-25 11:00,31.2,1334.4,165.0,245.3
2019-01-25 12:00,33.8,1791.0,160.3,227.5
2019-01-25 13:00,26.0,1676.3,158.9,215.7
2019-01-25 14:00,23.3,1353.8,158.7,211.2
2019-01-25 15:00,19.4,1141.2,115.7,174.7
2019-01-25 16:00,20.1,1367.3,128.5,193.9
2019-01-25 17:00,19.1,1065.9,130.7,197.3
2019-01-25 18:00,28.7,2941.6,109.0,164.5
2019-01-25 19:00,29.6,2649.9,135.6,204.7
2019-01-25 20:00,30.4,2885.0,112.2,169.4
2019-01-25 21:00,29.6,3169.4,97.8,147.6
