time,NO2,CO,PM2.5,PM10
2019-01-04,17,6,76,51
2019-01-05,23,9,71,47
2019-01-06,12,4,61,40
2019-01-07,23,9,65,43
2019-01-08,11,6,50,34
2019-01-09,26,5,48,30
2019-01-10,19,7,78,53
2019-01-11,38,15,85,57
2019-01-12,18,9,97,62
2019-01-13,18,4,83,55
2019-01-14,24,8,83,53
2019-01-15,29,6,69,45
2019-01-16,41,4,50,34
2019-01-17,12,5,59,46
2019-01-18,25,7,108,70
2019-01-19,48,25,134,94
2019-01-20,46,13,144,105
2019-01-21,28,5,46,40
2019-01-22,33,11,110,86
2019-01-23,34,7,150,127
2019-01-24,41,8,162,119
2019-01-25,26,9,88,77
2019-01-26,25,8,196,102
2019-01-27,32,9,174,147
2019-01-28,17,6,88,62
