time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,11.5,1877.0,12.2,30.0
2019-01-22 02:00,9.5,1673.8,15.0,34.9
2019-01-22 03:00,1.9,1827.5,30.2,57.6
2019-01-22 04:00,9.5,1741.2,34.2,64.2
2019-01-22 05:00,11.5,1842.8,31.0,57.8
2019-01-22 06:00,11.5,1889.9,37.2,70.2
2019-01-22 07:00,9.5,2150.8,46.1,88.0
2019-01-22 08:00,5.7,2660.0,44.2,96.2
2019-01-22 09:00,15.6,1586.7,44.1,89.5
2019-01-22 10:00,14.4,1788.4,44.7,87.5
2019-01-22 11:00,16.4,1309.5,58.3,112.7
2019-01-22 12:00,13.8,1102.0,55.1,109.6
2019-01-22 13:00,11.7,804.7,46.2,96.7
2019-01-22 14:00,12.5,923.4,44.8,84.7
2019-01-22 15:00,48.6,2447.4,61.7,127.6
2019-01-22 16:00,22.3,1895.0,54.2,113.1
2019-01-22 17:00,25.4,1598.9,62.1,127.0
2019-01-22 18:00,22.0,3435.1,72.2,146.6
2019-01-22 19:00,24.5,4364.3,76.8,162.7
2019-01-22 20:00,23.0,3264.3,87.4,173.4
2019-01-22 21:00,20.7,2724.8,83.5,172.7
2019-01-22 22:00,18.4,3292.0,42.6,93.2
2019-01-22 23:00,18.6,3224.9,39.6,88.5
2019-01-23 00:00,16.3,8397.2,46.6,101.8
2019-01-23 01:00,16.1,6986.7,65.6,140.2
2019-01-23 02:00,17.7,2317.5,62.6,133.9
2019-01-23 03:00,17.1,4115.9,81.7,175.4
2019-01-23 04:00,13.2,3532.3,63.1,127.9
2019-01-23 05:00,13.9,1274.9,71.1,157.5
2019-01-23 06:00,15.9,1944.7,78.4,172.6
2019-01-23 07:00,13.5,1605.8,62.8,134.3
2019-01-23 08:00,13.6,1861.5,67.9,140.2
2019-01-23 09:00,15.4,1710.2,58.0,117.9
2019-01-23 10:00,14.2,1281.5,72.0,153.7
2019-01-23 11:00,16.5,993.8,70.6,151.2
2019-01-23 12:00,20.5,1020.7,81.0,183.4
2019-01-23 13:00,8.4,1090.3,75.9,161.9
2019-01-23 14:00,11.5,1324.2,91.1,198.0
2019-01-23 15:00,58.6,1087.8,85.0,143.8
2019-01-23 16:00,62.8,1271.3,108.1,247.4
2019-01-23 17:00,48.5,1458.3,109.5,272.8
2019-01-23 18:00,41.9,1419.9,103.7,255.9
2019-01-23 19:00,47.6,1465.1,133.8,369.7
2019-01-23 20:00,37.9,1536.3,106.3,387.4
2019-01-23 21:00,40.2,1475.2,115.9,317.8
2019-01-23 22:00,41.1,1437.6,86.1,133.5
2019-01-23 23:00,50.6,1518.9,81.0,152.4
2019-01-24 00:00,57.0,1929.6,82.9,214.5
2019-01-24 01:00,22.9,1990.3,60.5,152.4
2019-01-24 02:00,21.8,1890.9,130.0,282.6
2019-01-24 03:00,10.2,1460.5,107.9,214.5
2019-01-24 04:00,25.4,2951.1,82.0,174.3
2019-01-24 05:00,24.2,2761.7,78.0,119.4
2019-01-24 06:00,22.0,2228.5,97.3,279.3
2019-01-24 07:00,12.7,3795.5,62.9,131.9
2019-01-24 08:00,15.3,2637.6,134.6,228.5
2019-01-24 09:00,17.5,1585.5,111.0,221.3
2019-01-24 10:00,19.9,1879.7,100.6,209.5
2019-01-24 11:00,21.8,2258.9,124.4,213.5
2019-01-24 12:00,22.4,2678.6,106.8,248.6
2019-01-24 13:00,18.0,1710.1,96.8,187.5
2019-01-24 14:00,14.3,1252.1,101.1,212.7
2019-01-25 10:00,19.6,1107.7,191.5,275.9
2019-01-25 11:00,17.4,1585.4,175.6,232.5
2019-01-25 12:00,15.2,1735.2,176.0,190.9
2019-01-25 13:00,18.4,1626.3,198.1,275.2
2019-01-25 14:00,17.2,1576.4,185.0,241.4
2019-01-25 15:00,17.9,1988.5,102.6,176.15
2019-01-25 16:00,20.9,2476.9,93.9,144.1
2019-01-25 17:00,22.8,3067.5,96.2,165.19
2019-01-25 18:00,21.4,1986.5,112.4,192.99
2019-01-25 19:00,17.9,1273.7,122.3,192.84
2019-01-25 20:00,14.6,1175.8,138.3,220.31
2019-01-25 21:00,12.5,927.5,140.9,224.78
2019-01-25 22:00,14.9,1437.1,125.6,215.69
2019-01-25 23:00,24.9,1958.5,110.2,189.14
2019-01-26 00:00,39.4,2032.9,141.4,242.77
