time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,9.5,1989.5,31.6,28.9
2019-01-22 02:00,13.4,1787.1,16.6,34.8
2019-01-22 03:00,15.3,1527.7,34.6,63.8
2019-01-22 04:00,17.2,1484.8,46.4,103.1
2019-01-22 05:00,22.9,1546.6,47.8,115.9
2019-01-22 06:00,11.5,1788.3,64.9,127.4
2019-01-22 07:00,17.2,1993.0,75.8,137.4
2019-01-22 08:00,11.5,2385.8,52.6,109.0
2019-01-22 09:00,10.49,1542.4,61.1,136.7
2019-01-22 10:00,10.83,1916.4,78.2,97.4
2019-01-22 11:00,9.86,1771.0,64.9,123.6
2019-01-22 12:00,11.06,1417.9,54.6,106.6
2019-01-22 13:00,10.68,1130.0,83.7,172.3
2019-01-22 14:00,9.57,1201.3,60.4,122.7
2019-01-22 15:00,57.5,2021.1,57.3,236.2
2019-01-22 16:00,48.7,1688.3,67.9,201.4
2019-01-22 17:00,42.8,1700.1,75.3,182.6
2019-01-22 18:00,47.6,1664.9,73.6,135.3
2019-01-22 19:00,45.8,1651.4,88.8,157.7
2019-01-22 20:00,38.5,1685.2,104.7,205.8
2019-01-22 21:00,46.1,1655.6,103.8,206.9
2019-01-22 22:00,47.2,1864.1,154.2,314.5
2019-01-22 23:00,48.5,1582.6,152.3,305.0
2019-01-23 00:00,42.8,1581.6,146.4,286.2
2019-01-23 01:00,37.7,1547.7,141.5,279.2
2019-01-23 02:00,37.8,1548.5,177.8,331.2
2019-01-23 03:00,46.6,1622.9,71.4,148.7
2019-01-23 04:00,51.8,1669.0,127.6,231.6
2019-01-23 05:00,11.6,1710.2,65.9,133.1
2019-01-23 06:00,11.1,1957.8,52.5,110.2
2019-01-23 07:00,15.1,2259.6,57.4,114.8
2019-01-23 08:00,14.5,4572.7,55.8,118.4
2019-01-23 09:00,12.9,3472.7,60.5,127.3
2019-01-23 10:00,16.0,2933.2,93.8,191.9
2019-01-23 11:00,18.4,3500.4,70.8,150.4
2019-01-23 12:00,17.6,1944.2,74.8,155.7
2019-01-23 13:00,20.3,1625.2,95.4,198.1
2019-01-23 14:00,18.4,1578.9,112.1,216.1
2019-01-23 15:00,29.9,1698.0,101.4,216.0
2019-01-23 16:00,28.4,2021.1,94.9,185.7
2019-01-23 17:00,27.2,1688.3,114.5,235.4
2019-01-23 18:00,34.7,1700.1,104.0,198.1
2019-01-23 19:00,33.7,1664.9,127.1,259.2
2019-01-23 20:00,37.9,1651.4,120.9,200.9
2019-01-23 21:00,33.7,1685.2,132.9,286.4
2019-01-23 22:00,31.5,1655.6,108.4,172.6
2019-01-23 23:00,36.8,1864.1,105.9,192.1
2019-01-24 00:00,24.7,1582.6,90.7,164.0
2019-01-24 01:00,19.9,1581.6,86.0,164.7
2019-01-24 02:00,17.8,1547.7,102.2,240.7
2019-01-24 03:00,10.4,1548.5,89.3,196.4
2019-01-24 04:00,9.8,1622.9,84.2,176.4
2019-01-24 05:00,8.8,1669.0,106.6,177.0
2019-01-24 06:00,17.9,1710.2,109.1,264.7
2019-01-24 07:00,19.0,1957.8,98.0,209.8
2019-01-24 08:00,26.9,2259.6,103.4,215.6
2019-01-24 09:00,17.0,1696.2,137.2,313.8
2019-01-24 10:00,19.0,1865.8,144.1,310.7
2019-01-24 11:00,17.3,1704.2,124.8,241.1
2019-01-24 12:00,14.7,1386.8,100.2,242.6
2019-01-24 13:00,10.0,1005.7,148.7,373.6
2019-01-24 14:00,25.2,1276.7,170.9,230.7
2019-01-25 10:00,19.8,1528.6,182.4,279.2
2019-01-25 11:00,19.2,1488.7,212.3,331.2
2019-01-25 12:00,21.7,1590.0,201.1,314.5
2019-01-25 13:00,23.7,1615.6,209.7,305.0
2019-01-25 14:00,26.4,1849.3,197.1,286.2
2019-01-25 15:00,12.9,1698.0,117.2,177.0
2019-01-25 16:00,17.1,2021.1,118.4,178.7
2019-01-25 17:00,16.0,1688.3,171.2,258.5
2019-01-25 18:00,15.8,1700.1,191.2,288.7
2019-01-25 19:00,14.4,1664.9,181.4,273.9
2019-01-25 20:00,15.6,1651.4,100.9,152.1
2019-01-25 21:00,16.7,1685.2,98.4,148.5
2019-01-25 22:00,16.0,1655.6,106.8,185.7
2019-01-25 23:00,16.6,1864.1,109.9,150.9
2019-01-26 00:00,20.8,1582.6,97.7,147.3
2019-01-26 01:00,19.3,1581.6,104.6,157.5
2019-01-26 02:00,18.0,1547.7,100.7,152.0
2019-01-26 03:00,18.3,1548.5,92.0,149.3
2019-01-26 04:00,19.3,1622.9,113.9,172.0
2019-01-26 05:00,20.2,1669.0,95.0,143.2
2019-01-26 06:00,22.0,1710.2,177.0,247.5
2019-01-26 07:00,24.0,1957.8,144.7,218.5
2019-01-26 08:00,29.1,4572.7,152.8,276.1
2019-01-26 09:00,28.2,3472.7,167.3,252.5
2019-01-26 10:00,30.9,2570.8,118.5,175.9
2019-01-26 11:00,25.7,2283.1,106.1,157.5
2019-01-26 12:00,19.5,2310.0,119.6,177.6
2019-01-26 13:00,21.1,2379.6,100.6,141.0
2019-01-26 14:00,22.6,2564.1,111.3,165.3
2019-01-26 15:00,38.7,1655.6,94.5,196.2
2019-01-26 16:00,31.4,1864.1,101.0,204.8
2019-01-26 17:00,32.6,1582.6,106.9,200.7
2019-01-26 18:00,40.6,1581.6,113.8,236.2
2019-01-26 19:00,29.0,1547.7,107.2,201.4
2019-01-26 20:00,31.8,1548.5,120.5,282.6
2019-01-26 21:00,31.4,1622.9,125.3,235.3
2019-01-26 22:00,31.9,1669.0,163.0,257.7
2019-01-26 23:00,36.6,1710.2,130.1,205.8
2019-01-27 00:00,17.2,1957.8,143.5,226.9
2019-01-27 01:00,20.5,2259.6,188.9,314.5
2019-01-27 02:00,27.5,1944.2,192.9,305.0
2019-01-27 03:00,31.8,1625.2,181.0,286.2
2019-01-27 04:00,22.7,1578.9,176.6,279.2
2019-01-27 05:00,19.4,4572.7,179.5,331.2
2019-01-27 06:00,23.1,3472.7,157.3,248.7
2019-01-27 07:00,28.6,2933.2,171.8,271.6
2019-01-27 08:00,24.5,3500.4,172.7,273.1
2019-01-27 09:00,39.1,3433.3,158.2,250.2
2019-01-27 10:00,60.1,2186.5,101.9,247.35
2019-01-27 11:00,67.7,2609.2,94.9,272.75
2019-01-27 12:00,65.4,1535.8,93.7,255.88
2019-01-27 13:00,56.1,1354.3,101.2,269.67
2019-01-27 14:00,110.7,1615.6,83.9,170.8
2019-01-27 15:00,106.3,1849.3,86.7,212.2
2019-01-27 16:00,65.4,1918.4,72.6,191.0
2019-01-27 17:00,58.6,2467.9,71.7,158.6
2019-01-27 18:00,52.1,2277.6,67.6,126.6
2019-01-27 19:00,46.1,2119.3,58.4,115.5
2019-01-27 20:00,20.5,1661.5,85.7,178.2
2019-01-27 21:00,19.7,1527.4,46.8,91.0
2019-01-27 22:00,22.8,1371.9,47.9,104.8
2019-01-27 23:00,24.5,1191.3,64.9,125.3
2019-01-28 00:00,26.7,1209.8,54.3,145.7
2019-01-28 01:00,13.8,1294.7,57.5,132.2
2019-01-28 02:00,16.0,1553.2,63.4,138.9
2019-01-28 03:00,14.5,1653.9,59.3,113.4
2019-01-28 04:00,14.3,1536.1,46.6,95.8
2019-01-28 05:00,14.6,1951.7,38.5,78.5
2019-01-28 06:00,13.5,2803.2,78.1,92.9
2019-01-28 07:00,10.8,3988.9,75.3,87.4
2019-01-28 08:00,9.2,3078.9,56.0,79.4
2019-01-28 09:00,189.1,3412.2,62.2,125.2
2019-01-28 10:00,107.0,2641.1,58.7,121.8
2019-01-28 11:00,187.2,2684.0,64.5,131.5
2019-01-28 12:00,116.5,2590.1,83.3,173.3
2019-01-28 13:00,82.1,2328.4,76.7,142.7
2019-01-28 14:00,87.9,1680.5,65.2,132.4
2019-01-28 15:00,28.6,1510.3,57.4,120.0
2019-01-28 16:00,5.7,2262.5,60.2,125.9
2019-01-28 17:00,34.4,2259.7,70.4,196.1
2019-01-28 18:00,42.0,1983.3,73.2,186.1
2019-01-28 19:00,19.1,1957.5,76.8,189.5
2019-01-28 20:00,53.5,1399.1,68.8,166.0
2019-01-28 21:00,32.5,1353.5,56.3,151.7
2019-01-28 22:00,13.4,1069.0,48.1,94.0
2019-01-28 23:00,30.6,1029.8,86.5,168.7
2019-01-29 00:00,17.2,998.2,65.5,127.1
2019-01-29 01:00,1.9,560.7,62.1,125.8
2019-01-29 02:00,15.3,661.9,54.3,113.7
2019-01-29 03:00,36.3,577.9,44.5,83.4
2019-01-29 04:00,63.0,647.6,50.2,111.6
2019-01-29 05:00,63.0,936.5,52.9,103.5
2019-01-29 06:00,30.6,961.9,44.6,88.9
2019-01-29 07:00,38.2,1378.7,56.4,117.8
2019-01-29 08:00,36.3,2436.1,60.0,128.5
2019-01-29 09:00,63.0,2160.5,59.4,114.8
2019-01-29 10:00,40.1,1942.2,65.3,126.0
2019-01-29 11:00,78.3,2206.9,58.9,109.4
2019-01-29 12:00,126.1,2868.5,65.7,135.3
2019-01-29 13:00,124.1,2223.5,78.2,97.4
