time,NO2,CO,PM2.5,PM10
2019-01-04,17,10,82,55
2019-01-05,27,11,73,49
2019-01-06,17,7,53,36
2019-01-07,30,13,73,48
2019-01-08,8,9,41,27
2019-01-09,6,9,44,29
2019-01-10,11,11,69,46
2019-01-11,26,16,94,63
2019-01-12,15,12,87,56
2019-01-13,11,6,77,48
2019-01-14,8,8,88,54
2019-01-15,25,9,79,53
2019-01-16,6,7,47,33
2019-01-17,11,8,59,39
2019-01-18,10,7,99,66
2019-01-19,33,8,129,92
2019-01-20,44,11,128,85
2019-01-21,9,8,52,49
2019-01-22,25,15,97,73
2019-01-23,22,9,138,107
2019-01-24,25,14,191,141
2019-01-25,29,14,119,82
2019-01-26,23,13,180,95
2019-01-27,28,13,186,109
2019-01-28,12,8,102,69
