time,NO2,SO2,CO,PM2.5,PM10
2019-01-04,27,4,7,78,51
2019-01-05,27,3,11,87,53
2019-01-06,22,2,6,65,41
2019-01-07,15,3,6,85,61
2019-01-08,31,1,8,69,46
2019-01-09,31,1,10,37,26
2019-01-10,19,1,10,73,45
2019-01-11,11,2,15,131,90
2019-01-12,12,1,13,159,95
2019-01-13,19,0,5,76,50
2019-01-14,19,0,7,111,66
2019-01-15,21,0,9,81,48
2019-01-16,29,0,6,43,30
2019-01-17,37,0,7,62,43
2019-01-18,52,2,12,141,79
2019-01-19,76,4,21,206,128
2019-01-20,83,1,18,208,113
2019-01-21,30,0,7,47,44
2019-01-22,48,2,15,135,80
2019-01-23,76,7,12,206,113
2019-01-24,82,5,14,225,149
2019-01-25,67,0,12,399,183
2019-01-26,43,0,11,222,129
2019-01-27,55,3,11,221,124
2019-01-28,29,1,7,110,67
