time,NO2,SO2,CO,PM2.5,PM10,O3
2019-01-22 01:00,32.03,0.27,1079.6,31.18,81.27,6.64
2019-01-22 02:00,25.02,0.13,606.8,25.68,59.98,12.82
2019-01-22 03:00,21.81,0.21,541.8,32.0,61.26,12.06
2019-01-22 04:00,23.13,0.48,953.4,40.57,92.46,8.8
2019-01-22 05:00,23.38,0.8,853.4,74.04,95.16,8.96
2019-01-22 06:00,26.09,1.12,628.8,82.97,121.66,8.86
2019-01-22 07:00,30.29,2.19,1093.8,40.28,67.15,8.26
2019-01-22 08:00,43.13,3.2,1912.7,51.29,106.25,6.66
2019-01-22 09:00,47.81,3.66,1810.2,59.27,138.93,9.42
2019-01-22 10:00,43.15,3.23,1350.7,62.64,94.95,11.2
2019-01-22 11:00,38.66,3.68,1487.2,81.6,107.83,13.72
2019-01-22 12:00,35.03,3.04,1293.1,63.52,105.5,17.08
2019-01-22 13:00,30.04,3.71,1032.6,49.11,99.95,21.04
2019-01-22 14:00,27.7,4.11,1429.7,52.54,67.14,20.0
2019-01-22 15:00,29.93,4.03,1442.5,50.52,77.58,20.14
2019-01-22 16:00,31.38,4.01,1210.3,45.18,117.44,21.2
2019-01-22 17:00,37.59,3.2,1644.1,78.21,120.09,18.64
2019-01-22 18:00,67.92,4.46,3297.9,63.25,119.54,10.96
2019-01-22 19:00,89.1,4.91,4440.7,120.63,206.05,1.46
2019-01-22 20:00,92.75,5.05,4156.3,105.53,233.26,1.04
2019-01-22 21:00,93.0,5.61,3983.1,115.59,226.75,0.08
2019-01-22 22:00,91.95,6.51,3630.3,107.04,173.15,2.6
2019-01-22 23:00,96.95,8.46,2925.4,121.48,204.85,0.5
2019-01-23 00:00,92.92,7.37,2747.3,149.82,217.53,0.76
2019-01-23 01:00,108.6,9.4,2350.7,113.01,219.0,0.08
2019-01-23 02:00,111.05,9.13,2164.3,118.55,219.12,0.56
2019-01-23 03:00,104.61,8.06,1587.3,142.14,227.3,0.66
2019-01-23 04:00,97.79,10.0,1678.3,112.86,187.88,1.42
2019-01-23 05:00,99.91,10.0,1521.0,176.44,224.3,1.42
2019-01-23 06:00,80.22,10.0,1182.9,116.94,188.29,1.76
2019-01-23 07:00,72.2,10.0,1519.8,103.03,168.59,0.6000000000000001
2019-01-23 08:00,70.21,10.0,2069.9,71.71,137.72,4.88
2019-01-23 09:00,77.95,10.0,2612.2,95.35,178.35,6.26
2019-01-23 10:00,85.34,10.0,1710.9,90.29,133.4,9.38
2019-01-23 11:00,74.41,10.0,1740.8,99.77,162.33,13.3
2019-01-23 12:00,57.41,10.0,1490.4,70.19,138.67,28.4
2019-01-23 13:00,46.41,10.0,1243.1,60.05,94.95,30.96
2019-01-23 14:00,40.32,10.0,1436.2,68.15,107.76,29.68
2019-01-23 15:00,40.42,10.0,1471.1,70.49,82.3,32.42
2019-01-23 16:00,41.54,9.67,1438.9,65.82,129.21,26.26
2019-01-23 17:00,68.53,8.44,2342.6,105.35,175.18,21.86
2019-01-23 18:00,79.8,7.13,3517.9,98.31,212.06,15.56
2019-01-23 19:00,74.81,8.22,3240.2,99.61,143.94,7.7
2019-01-23 20:00,74.74,8.81,2743.2,82.28,172.06,8.16
2019-01-23 21:00,77.66,8.09,2842.0,93.28,167.51,3.12
2019-01-23 22:00,86.75,7.69,2955.3,160.54,232.57,0.5
2019-01-23 23:00,87.96,8.76,2610.2,165.36,213.14,0.30000000000000004
2019-01-24 00:00,88.38,7.34,2220.4,155.17,286.19,0.24
2019-01-24 01:00,89.14,6.68,2667.4,157.34,267.56,0.14
2019-01-24 02:00,91.24,6.51,2392.2,98.25,368.2,0.2
2019-01-24 03:00,86.75,6.25,2013.1,96.72,346.3,0.06
2019-01-24 04:00,69.79,4.3,1659.5,63.7,215.13,2.64
2019-01-24 05:00,61.04,4.25,1672.6,94.46,159.45,5.0
2019-01-24 06:00,62.4,4.38,1571.8,92.63,170.74,4.1
2019-01-24 07:00,77.41,5.29,1795.3,82.23,159.15,0.4
2019-01-24 08:00,94.33,5.02,3218.4,160.06,230.34,0.08
2019-01-24 09:00,96.84,5.77,3567.3,70.0,243.69,6.06
2019-01-24 10:00,108.89,6.51,4203.4,174.2,260.21,0.9400000000000001
2019-01-24 11:00,98.63,6.59,3621.5,125.29,215.15,13.16
2019-01-24 12:00,90.23,10.0,2985.7,161.02,186.81,15.62
2019-01-24 13:00,70.31,10.0,1741.6,115.36,191.52,24.74
2019-01-24 14:00,57.59,9.16,1325.3,85.1,120.92,23.24
2019-01-25 10:00,73.69,0.05,3739.0,171.31,259.34,0.16
2019-01-25 11:00,77.18,0.09,2925.8,183.24,264.65,3.16
2019-01-25 12:00,70.77,0.1,2875.2,217.9,297.52,2.16
2019-01-25 13:00,59.95,0.03,2235.0,222.28,266.4,5.0
2019-01-25 14:00,54.44,0.01,1769.6,203.92,285.72,8.38
2019-01-25 15:00,49.85,1.23,1386.7,105.39,140.96,12.62
2019-01-25 16:00,47.48,0.54,1916.8,135.1,220.21,7.2
2019-01-25 17:00,49.81,0.96,1928.5,162.26,288.54,7.48
2019-01-25 18:00,54.34,0.21,2020.1,120.58,200.13,4.26
2019-01-25 19:00,53.42,0.41000000000000003,2380.0,164.05,236.29,2.86
2019-01-25 20:00,45.65,0.2,2067.9,106.08,127.76,3.58
2019-01-25 21:00,45.4,0.06,1626.0,96.25,142.09,3.0
2019-01-25 22:00,47.92,0.53,1414.0,105.48,179.59,3.44
2019-01-25 23:00,47.88,0.18,1931.1,62.19,101.08,1.3599999999999999
2019-01-26 00:00,46.57,0.36,1688.5,84.8,132.02,1.28
2019-01-26 01:00,48.63,0.13,1582.9,65.56,110.47,3.86
2019-01-26 02:00,38.54,0.04,1668.0,81.32,98.36,2.98
2019-01-26 03:00,35.74,0.85,1502.5,126.77,251.99,4.04
2019-01-26 04:00,38.85,0.16,1211.0,59.15,40.33,5.46
2019-01-26 05:00,39.71,0.15,1172.1,119.46,170.86,4.14
2019-01-26 06:00,35.16,0.2,1588.3,93.09,134.45,4.42
2019-01-26 07:00,40.87,0.03,1734.0,133.45,211.01,0.02
2019-01-26 08:00,47.25,0.1,2005.6,121.4,223.03,1.26
2019-01-26 09:00,46.24,0.4,2416.2,101.08,49.15,2.22
2019-01-26 10:00,42.4,0.91,2216.5,92.2,150.52,8.06
2019-01-26 11:00,41.73,0.77,1818.0,106.89,197.6,8.88
2019-01-26 12:00,41.83,0.59,1735.0,90.09,146.73,12.46
2019-01-26 13:00,36.42,0.59,1681.0,119.64,177.23,16.38
2019-01-26 14:00,32.41,0.6900000000000001,1308.5,69.87,386.06,17.48
2019-01-26 15:00,32.91,0.03,1104.3,90.19,224.16,16.16
2019-01-26 16:00,33.92,0.05,1617.2,132.38,210.34,17.08
2019-01-26 17:00,36.92,0.16,1731.3,147.58,196.88,9.9
2019-01-26 18:00,41.5,0.21,1608.8,197.58,113.29,10.68
2019-01-26 19:00,45.13,0.21,1876.5,92.64,151.12,5.52
2019-01-26 20:00,53.59,0.08,2793.7,151.55,223.49,0.34
2019-01-26 21:00,54.44,0.03,2594.2,132.86,231.9,0.96
2019-01-26 22:00,58.68,0.07,2441.9,89.05,228.54,3.7199999999999998
2019-01-26 23:00,74.57,0.19,3415.0,141.88,208.17,3.38
2019-01-27 00:00,69.98,0.13,3237.7,175.65,291.54,3.44
2019-01-27 01:00,83.24,0.51,3325.7,99.49,211.66,0.32
2019-01-27 02:00,81.37,1.58,3287.4,139.26,260.99,0.2
2019-01-27 03:00,73.76,3.04,3348.7,175.66,272.83,0.02
2019-01-27 04:00,65.42,1.58,2621.0,153.0,249.67,0.76
2019-01-27 05:00,61.37,1.01,2134.3,167.96,270.89,3.02
2019-01-27 06:00,61.54,0.32,2268.6,154.42,277.88,2.65
2019-01-27 07:00,56.77,0.32,2539.4,152.12,240.83,3.14
2019-01-27 08:00,64.14,0.34,2711.2,146.53,258.61,6.9
2019-01-27 09:00,71.76,0.4,3334.7,158.27,244.19,1.32
2019-01-27 10:00,77.45,5.82,3361.2,163.71,256.59,2.7199999999999998
2019-01-27 11:00,74.8,8.97,2478.0,150.93,172.44,17.38
2019-01-27 12:00,71.74,10.0,2117.0,126.96,188.28,11.62
2019-01-27 13:00,62.15,5.69,2733.8,128.04,230.38,17.12
2019-01-27 14:00,49.47,5.93,2031.7,101.34,178.3,31.26
2019-01-27 15:00,35.77,2.19,1360.7,73.25,96.24,34.9
2019-01-27 16:00,26.87,0.19,1244.4,75.0,145.44,35.98
2019-01-27 17:00,25.9,0.05,1327.9,83.57,130.1,34.44
2019-01-27 18:00,36.35,0.16,1479.9,54.88,89.91,25.42
2019-01-27 19:00,39.96,0.08,1281.1,51.83,122.54,23.8
2019-01-27 20:00,40.09,0.05,1669.5,45.98,142.19,20.28
2019-01-27 21:00,35.24,0.24,1421.6,48.39,93.81,21.5
2019-01-27 22:00,39.17,0.19,1035.4,47.91,88.87,19.98
2019-01-27 23:00,40.32,0.08,1511.7,52.12,77.38,17.3
2019-01-28 00:00,36.31,0.05,1354.9,68.46,119.64,15.48
2019-01-28 01:00,31.11,0.05,1032.5,71.03,102.42,21.64
2019-01-28 02:00,29.76,0.03,1281.6,75.1,95.5,26.44
2019-01-28 03:00,28.19,0.13,1570.9,76.4,166.46,16.14
2019-01-28 04:00,24.62,0.08,1122.6,54.66,122.4,16.76
2019-01-28 05:00,26.64,0.03,1303.1,94.97,156.82,23.06
2019-01-28 06:00,31.69,0.05,1017.2,51.27,115.68,19.72
2019-01-28 07:00,37.49,0.08,1375.6,71.92,120.01,13.24
2019-01-28 08:00,46.64,0.16,2221.7,69.76,163.36,22.64
2019-01-28 09:00,41.2,0.15,1593.8,65.77,128.25,35.88
2019-01-28 10:00,31.4,0.87,1388.6,52.04,77.06,31.44
2019-01-28 11:00,27.41,0.38,1042.8,74.85,92.44,36.06
2019-01-28 12:00,27.39,0.55,778.9,58.74,88.0,40.68
2019-01-28 13:00,23.78,0.12,1220.2,55.45,78.02,59.62
2019-01-28 14:00,22.46,0.16,1205.8,28.21,94.44,55.68
2019-01-28 15:00,25.1,1.12,913.2,40.08,59.45,48.68
2019-01-28 16:00,23.55,1.76,659.6,34.03,64.24,53.62
2019-01-28 17:00,24.56,2.35,1279.2,49.9,78.27,50.22
2019-01-28 18:00,27.45,1.58,1377.5,77.64,127.3,30.6
2019-01-28 19:00,26.72,0.6900000000000001,1058.7,36.6,90.18,26.34
2019-01-28 20:00,33.25,0.4,1172.4,37.37,128.51,14.32
2019-01-28 21:00,32.62,1.17,1169.0,37.27,59.88,13.5
2019-01-28 22:00,26.07,0.29,667.3,33.92,55.18,18.58
2019-01-28 23:00,22.21,0.13,637.8,21.38,59.21,16.26
2019-01-29 00:00,20.46,0.96,974.9,43.76,82.93,22.4
2019-01-29 01:00,19.39,0.91,438.2,32.37,96.91,16.48
2019-01-29 02:00,21.43,0.08,138.6,31.82,66.63,21.54
2019-01-29 03:00,17.97,0.24,336.4,21.28,75.58,25.82
2019-01-29 04:00,20.36,0.72,521.2,45.75,62.97,18.02
2019-01-29 05:00,24.37,0.35000000000000003,191.6,43.93,69.46,17.56
2019-01-29 06:00,23.44,0.13,140.6,43.62,128.36,27.72
2019-01-29 07:00,33.52,0.88,967.3,43.09,114.3,5.76
2019-01-29 08:00,41.77,0.75,1436.2,64.71,132.65,4.34
2019-01-29 09:00,52.33,0.4,1436.3,72.01,143.95,12.04
2019-01-29 10:00,59.67,0.72,2045.2,57.24,131.5,16.08
2019-01-29 11:00,58.68,1.09,2417.7,60.23,137.55,28.18
2019-01-29 12:00,61.43,0.96,1480.2,54.08,113.1,14.16
2019-01-29 13:00,61.16,0.45,1475.9,62.24,141.1,16.12
2019-01-29 14:00,57.72,1.25,1620.4,60.05,123.5,21.36
