time,NO2,CO,PM2.5,PM10
2019-01-04,31,6,80,52
2019-01-05,34,17,72,49
2019-01-06,31,4,57,38
2019-01-07,57,9,66,43
2019-01-08,16,5,44,28
2019-01-09,11,5,43,29
2019-01-10,28,8,84,59
2019-01-11,52,16,90,60
2019-01-12,27,12,86,59
2019-01-13,24,3,79,51
2019-01-14,22,4,82,47
2019-01-15,51,5,69,45
2019-01-16,10,4,50,35
2019-01-17,13,4,54,36
2019-01-18,43,7,94,59
2019-01-19,75,26,128,97
2019-01-20,56,27,131,95
2019-01-21,25,4,52,47
2019-01-22,55,12,91,62
2019-01-23,63,6,132,87
2019-01-24,60,7,190,123
2019-01-25,68,11,109,86
2019-01-26,52,9,201,107
2019-01-27,68,10,186,109
2019-01-28,24,5,96,63
