time,NO2,CO,PM2.5,PM10
2019-01-22 01:00,14.9,3025.0,21.5,40.2
2019-01-22 02:00,16.8,2991.0,23.7,46.0
2019-01-22 03:00,24.5,2585.5,29.7,59.9
2019-01-22 04:00,24.5,2196.1,25.8,51.0
2019-01-22 05:00,18.7,2090.7,41.1,69.7
2019-01-22 06:00,26.4,3598.3,56.0,111.6
2019-01-22 07:00,13.0,3762.2,56.6,85.4
2019-01-22 08:00,26.4,5931.7,66.8,71.7
2019-01-22 09:00,28.4,2376.4,61.4,112.8
2019-01-22 10:00,38.2,2985.2,72.6,145.8
2019-01-22 11:00,24.8,2697.3,68.9,137.6
2019-01-22 12:00,55.4,4781.1,56.4,116.8
2019-01-22 13:00,105.0,3944.1,50.5,105.7
2019-01-22 14:00,84.0,5211.9,49.4,91.5
2019-01-22 15:00,61.1,4962.7,77.0,185.2
2019-01-22 16:00,45.8,5252.5,115.8,276.5
2019-01-22 17:00,74.5,4582.9,111.2,254.5
2019-01-22 18:00,43.6,4510.6,159.9,343.3
2019-01-22 19:00,32.9,6810.6,131.5,207.0
2019-01-22 20:00,31.2,6490.0,85.2,183.7
2019-01-22 21:00,28.7,7033.9,108.8,230.6
2019-01-22 22:00,45.1,7652.1,144.2,298.3
2019-01-22 23:00,51.2,5753.5,111.4,283.0
2019-01-23 00:00,55.8,3864.6,112.9,225.6
2019-01-23 01:00,45.6,2589.8,122.2,226.4
2019-01-23 02:00,61.2,1438.1,47.8,103.9
2019-01-23 03:00,54.8,1384.3,59.0,118.9
2019-01-23 04:00,46.1,1030.0,53.3,89.3
2019-01-23 05:00,35.7,1377.7,98.6,201.1
2019-01-23 06:00,34.2,3036.7,50.6,114.9
2019-01-23 07:00,47.9,4553.3,90.2,201.3
2019-01-23 08:00,34.4,5569.9,132.4,278.2
2019-01-23 09:00,61.8,6592.3,50.1,94.9
2019-01-23 10:00,52.9,6224.3,138.6,292.2
2019-01-23 11:00,118.4,7281.9,125.3,221.6
2019-01-23 12:00,145.2,7120.1,134.0,254.9
2019-01-23 13:00,105.0,6205.1,131.3,245.9
2019-01-23 14:00,103.1,7373.8,98.2,193.0
2019-01-23 15:00,131.8,8341.2,72.7,138.6
2019-01-23 16:00,84.0,6977.1,89.4,180.6
2019-01-23 17:00,141.3,7976.4,93.6,195.4
2019-01-23 18:00,97.4,5098.8,116.0,162.4
2019-01-23 19:00,110.8,7673.5,92.3,190.9
2019-01-23 20:00,85.9,4437.1,83.1,170.6
2019-01-23 21:00,101.2,7541.3,138.0,246.4
2019-01-23 22:00,97.4,6386.8,106.2,187.6
2019-01-23 23:00,78.3,4064.3,112.8,160.1
2019-01-24 00:00,66.8,2884.1,110.7,244.9
2019-01-24 01:00,68.8,1622.4,113.9,252.1
2019-01-24 02:00,59.2,1456.5,80.2,131.7
2019-01-24 03:00,45.8,954.5,85.1,156.3
2019-01-24 04:00,47.7,1375.2,93.1,158.5
2019-01-24 05:00,53.5,2241.6,90.8,214.8
2019-01-24 06:00,76.4,3888.7,86.1,183.1
2019-01-24 07:00,95.5,5777.2,89.6,167.9
2019-01-24 08:00,126.1,10857.4,100.0,284.8
2019-01-24 09:00,103.1,7108.8,115.9,317.8
2019-01-24 10:00,105.0,7437.7,90.1,247.4
2019-01-24 11:00,108.9,7862.1,93.5,272.8
2019-01-24 12:00,116.5,5543.4,103.7,255.9
2019-01-24 13:00,105.0,6282.4,163.8,369.7
2019-01-24 14:00,116.5,6391.6,156.3,387.4
2019-01-25 10:00,53.5,6627.1,191.9,292.4
2019-01-25 11:00,82.1,6491.9,199.2,294.4
2019-01-25 12:00,59.2,7243.0,201.2,320.3
2019-01-25 13:00,68.8,6193.7,221.4,367.9
2019-01-25 14:00,68.8,4654.3,215.1,327.8
2019-01-25 15:00,72.6,5308.5,129.1,211.05
2019-01-25 16:00,74.5,5433.5,132.3,226.35
2019-01-25 17:00,66.8,9123.7,131.6,216.9
2019-01-25 18:00,89.8,15387.8,145.8,235.35
2019-01-25 19:00,53.5,11401.9,147.7,240.3
2019-01-25 20:00,51.6,7422.5,113.3,171.45
2019-01-25 21:00,53.5,6423.1,107.6,168.75
2019-01-25 22:00,43.9,5168.6,111.1,189.45
2019-01-25 23:00,45.8,4926.0,96.7,158.85
2019-01-26 00:00,40.1,2397.8,90.4,148.5
2019-01-26 01:00,38.2,2242.6,99.2,164.7
2019-01-26 02:00,43.9,1788.3,95.6,152.1
2019-01-26 03:00,28.6,1531.6,79.6,120.6
2019-01-26 04:00,24.8,1710.7,96.3,151.65
2019-01-26 05:00,24.8,2235.0,99.7,165.6
2019-01-26 06:00,32.5,2499.1,136.1,225.9
2019-01-26 07:00,32.5,4387.7,139.6,231.75
2019-01-26 08:00,70.7,7346.3,103.3,171.45
2019-01-26 09:00,65.7,6735.1,119.4,198.3
2019-01-26 10:00,61.1,6570.5,140.6,215.3
2019-01-26 11:00,87.9,6224.8,123.9,202.1
2019-01-26 12:00,99.3,5202.7,118.8,174.8
2019-01-26 13:00,59.2,3962.8,101.4,163.7
2019-01-26 14:00,84.0,5693.9,115.8,174.8
2019-01-26 15:00,66.8,5358.9,109.3,174.3
2019-01-26 16:00,97.4,5603.4,105.0,186.9
2019-01-26 17:00,87.9,6184.8,108.1,162.8
2019-01-26 18:00,95.5,7769.1,117.5,210.0
2019-01-26 19:00,51.6,6746.9,115.9,195.1
2019-01-26 20:00,68.8,6945.8,153.1,237.2
2019-01-26 21:00,72.6,7182.2,150.1,243.5
2019-01-26 22:00,53.5,7172.8,161.8,250.8
2019-01-26 23:00,49.7,6112.9,156.5,236.3
2019-01-27 00:00,49.7,4624.6,154.6,256.2
2019-01-27 01:00,43.9,3877.1,142.9,248.6
2019-01-27 02:00,36.3,3245.4,124.6,235.0
2019-01-27 03:00,24.8,2005.3,149.1,240.6
2019-01-27 04:00,9.5,2063.9,184.5,299.8
2019-01-27 05:00,15.3,2542.0,152.3,237.8
2019-01-27 06:00,28.6,3763.0,189.2,305.9
2019-01-27 07:00,30.6,4317.3,178.0,286.1
2019-01-27 08:00,43.9,6003.8,169.5,270.6
2019-01-27 09:00,70.7,8569.1,189.9,308.6
2019-01-27 10:00,76.4,7605.5,124.8,265.9
2019-01-27 11:00,118.4,9142.7,114.9,231.6
2019-01-27 12:00,112.7,6625.5,101.8,209.1
2019-01-27 13:00,143.2,6990.7,101.7,236.5
2019-01-27 14:00,164.3,7176.8,92.7,227.9
2019-01-27 15:00,173.8,7887.5,88.6,221.3
2019-01-27 16:00,118.4,9631.5,101.9,228.6
2019-01-27 17:00,116.5,8782.6,100.1,264.2
2019-01-27 18:00,137.5,8510.9,77.3,154.3
2019-01-27 19:00,112.7,5711.9,98.1,166.7
2019-01-27 20:00,76.4,5246.0,78.4,183.3
2019-01-27 21:00,66.8,6160.5,91.5,159.5
2019-01-27 22:00,72.6,5076.0,83.9,174.5
2019-01-27 23:00,61.1,4290.7,95.2,175.5
2019-01-28 00:00,47.7,1899.9,82.5,153.4
2019-01-28 01:00,42.0,1581.5,59.1,119.9
2019-01-28 02:00,40.1,925.5,75.1,179.1
2019-01-28 03:00,15.3,1152.5,73.5,137.6
2019-01-28 04:00,13.4,1021.3,65.3,100.1
2019-01-28 05:00,61.1,3075.3,75.6,135.0
2019-01-28 06:00,68.8,2664.4,63.9,252.1
2019-01-28 07:00,89.8,5557.7,74.7,225.3
2019-01-28 08:00,97.4,8511.2,89.7,175.1
2019-01-28 09:00,105.0,6804.9,72.7,145.6
2019-01-28 10:00,135.6,8022.8,85.1,178.8
2019-01-28 11:00,112.7,5397.9,68.5,132.2
2019-01-28 12:00,42.0,6402.5,52.6,111.4
2019-01-28 13:00,103.1,5697.2,65.8,146.4
2019-01-28 14:00,114.6,8171.7,62.1,120.2
2019-01-28 15:00,108.9,7837.2,41.3,83.6
2019-01-28 16:00,164.3,8500.4,61.4,112.8
2019-01-28 17:00,112.7,8274.9,72.6,145.8
2019-01-28 18:00,91.7,8062.6,68.9,137.6
2019-01-28 19:00,84.0,6059.1,56.4,116.8
2019-01-28 20:00,49.7,4336.9,50.5,105.7
2019-01-28 21:00,78.3,4779.9,73.1,147.7
2019-01-28 22:00,72.6,4208.5,53.5,102.1
2019-01-28 23:00,59.2,3044.3,46.4,75.8
2019-01-29 00:00,51.6,2032.1,43.7,84.1
2019-01-29 01:00,36.3,921.6,46.8,106.7
2019-01-29 02:00,36.3,857.0,49.4,91.5
2019-01-29 03:00,19.1,842.1,48.9,100.6
2019-01-29 04:00,21.0,808.9,52.6,105.0
2019-01-29 05:00,28.6,1124.5,51.4,100.9
2019-01-29 06:00,66.8,2477.5,48.5,102.9
2019-01-29 07:00,64.9,4698.0,57.0,113.8
2019-01-29 08:00,57.3,7510.0,55.4,95.0
2019-01-29 09:00,43.9,5606.3,51.9,104.7
2019-01-29 10:00,55.4,5909.9,61.4,112.8
2019-01-29 11:00,80.2,8227.5,72.6,145.8
2019-01-29 12:00,137.5,9196.5,68.9,137.6
2019-01-29 13:00,129.9,6631.6,56.4,116.8
2019-01-29 14:00,107.0,8514.0,73.1,147.7
